;Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;BoxScore;OT;Attend.;Notes;Y-M
78;Fri, Nov 11, 2005;10:30p;New York Knicks;84;Golden State Warriors;86;Box Score;;19,596;;[2005, 11]
79;Fri, Nov 11, 2005;10:30p;Detroit Pistons;84;Portland Trail Blazers;81;Box Score;;17,181;;[2005, 11]
80;Sat, Nov 12, 2005;7:00p;Memphis Grizzlies;85;Atlanta Hawks;84;Box Score;;15,949;;[2005, 11]
81;Sat, Nov 12, 2005;7:00p;San Antonio Spurs;95;Washington Wizards;110;Box Score;;20,173;;[2005, 11]
82;Sat, Nov 12, 2005;7:30p;Charlotte Hornets;99;Miami Heat;108;Box Score;;19,6;;[2005, 11]
83;Sat, Nov 12, 2005;8:00p;Houston Rockets;99;Brooklyn Nets;91;Box Score;;20,098;;[2005, 11]
84;Sat, Nov 12, 2005;8:00p;Dallas Mavericks;109;New Orleans Pelicans;103;Box Score;;19,163;;[2005, 11]
85;Sat, Nov 12, 2005;8:30p;Utah Jazz;98;Chicago Bulls;103;Box Score;;22,272;;[2005, 11]
86;Sat, Nov 12, 2005;8:30p;Indiana Pacers;102;Milwaukee Bucks;103;Box Score;;17,894;;[2005, 11]
87;Sat, Nov 12, 2005;9:00p;Golden State Warriors;86;Phoenix Suns;101;Box Score;;16,562;;[2005, 11]
88;Sun, Nov 13, 2005;1:00p;Oklahoma City Thunder;126;Toronto Raptors;121;Box Score;OT;15,033;;[2005, 11]
89;Sun, Nov 13, 2005;6:00p;Houston Rockets;82;Boston Celtics;102;Box Score;;16,238;;[2005, 11]
90;Sun, Nov 13, 2005;6:00p;Cleveland Cavaliers;108;Orlando Magic;100;Box Score;OT;15,414;;[2005, 11]
91;Sun, Nov 13, 2005;6:00p;LA Clippers;108;Philadelphia 76ers;113;Box Score;;14,55;;[2005, 11]
92;Sun, Nov 13, 2005;9:00p;Minnesota Timberwolves;91;Denver Nuggets;102;Box Score;;16,545;;[2005, 11]
93;Sun, Nov 13, 2005;9:00p;New York Knicks;105;Sacramento Kings;95;Box Score;;17,317;;[2005, 11]
94;Mon, Nov 14, 2005;8:00p;Los Angeles Lakers;73;Memphis Grizzlies;85;Box Score;;16,671;;[2005, 11]
95;Mon, Nov 14, 2005;9:00p;New York Knicks;73;Utah Jazz;62;Box Score;;16,166;;[2005, 11]
96;Mon, Nov 14, 2005;10:30p;Chicago Bulls;82;Golden State Warriors;100;Box Score;;16,454;;[2005, 11]
97;Tue, Nov 15, 2005;7:00p;Washington Wizards;99;Cleveland Cavaliers;114;Box Score;;17,685;;[2005, 11]
98;Tue, Nov 15, 2005;7:00p;Charlotte Hornets;77;Orlando Magic;85;Box Score;;12,312;;[2005, 11]
99;Tue, Nov 15, 2005;7:00p;Toronto Raptors;92;Philadelphia 76ers;104;Box Score;;12,211;;[2005, 11]
100;Tue, Nov 15, 2005;7:30p;Boston Celtics;100;Detroit Pistons;115;Box Score;;22,076;;[2005, 11]
101;Tue, Nov 15, 2005;7:30p;New Orleans Pelicans;102;Miami Heat;109;Box Score;OT;19,6;;[2005, 11]
102;Tue, Nov 15, 2005;7:30p;Oklahoma City Thunder;99;Brooklyn Nets;109;Box Score;;14,986;;[2005, 11]
103;Tue, Nov 15, 2005;8:00p;Houston Rockets;94;Minnesota Timberwolves;89;Box Score;;14,091;;[2005, 11]
104;Tue, Nov 15, 2005;8:30p;Denver Nuggets;80;Dallas Mavericks;83;Box Score;;20,189;;[2005, 11]
105;Tue, Nov 15, 2005;8:30p;Atlanta Hawks;79;San Antonio Spurs;103;Box Score;;18,797;;[2005, 11]
106;Tue, Nov 15, 2005;10:00p;Utah Jazz;83;Sacramento Kings;119;Box Score;;17,317;;[2005, 11]
107;Tue, Nov 15, 2005;10:30p;Milwaukee Bucks;85;LA Clippers;109;Box Score;;14,938;;[2005, 11]
108;Wed, Nov 16, 2005;7:00p;Philadelphia 76ers;121;Toronto Raptors;115;Box Score;;16,49;;[2005, 11]
109;Wed, Nov 16, 2005;7:30p;Oklahoma City Thunder;113;Boston Celtics;100;Box Score;;14,023;;[2005, 11]
110;Wed, Nov 16, 2005;7:30p;Indiana Pacers;90;Charlotte Hornets;122;Box Score;;15,878;;[2005, 11]
111;Wed, Nov 16, 2005;8:00p;Denver Nuggets;91;New Orleans Pelicans;81;Box Score;;18,442;;[2005, 11]
112;Wed, Nov 16, 2005;9:00p;Memphis Grizzlies;115;Phoenix Suns;103;Box Score;;15,808;;[2005, 11]
113;Wed, Nov 16, 2005;10:00p;New York Knicks;92;Los Angeles Lakers;97;Box Score;;18,997;;[2005, 11]
114;Wed, Nov 16, 2005;10:00p;Chicago Bulls;93;Portland Trail Blazers;96;Box Score;;12,368;;[2005, 11]
115;Wed, Nov 16, 2005;10:30p;Milwaukee Bucks;90;Golden State Warriors;87;Box Score;;16,752;;[2005, 11]
116;Thu, Nov 17, 2005;7:00p;Washington Wizards;98;Minnesota Timberwolves;109;Box Score;;13,683;;[2005, 11]
117;Thu, Nov 17, 2005;8:30p;Atlanta Hawks;78;Dallas Mavericks;87;Box Score;;20,148;;[2005, 11]
118;Thu, Nov 17, 2005;9:30p;Houston Rockets;80;San Antonio Spurs;86;Box Score;;18,797;;[2005, 11]
119;Fri, Nov 18, 2005;7:00p;Orlando Magic;84;Cleveland Cavaliers;102;Box Score;;18,591;;[2005, 11]
120;Fri, Nov 18, 2005;7:00p;Charlotte Hornets;85;Indiana Pacers;93;Box Score;;15,793;;[2005, 11]
121;Fri, Nov 18, 2005;7:30p;Toronto Raptors;93;Boston Celtics;100;Box Score;;17,002;;[2005, 11]
122;Fri, Nov 18, 2005;7:30p;Philadelphia 76ers;96;Miami Heat;106;Box Score;;20,068;;[2005, 11]
123;Fri, Nov 18, 2005;8:00p;Atlanta Hawks;92;New Orleans Pelicans;95;Box Score;;17,554;;[2005, 11]
124;Fri, Nov 18, 2005;9:00p;New York Knicks;86;Denver Nuggets;95;Box Score;;18,218;;[2005, 11]
125;Fri, Nov 18, 2005;9:00p;Utah Jazz;94;Phoenix Suns;102;Box Score;;16,332;;[2005, 11]
126;Fri, Nov 18, 2005;9:30p;Detroit Pistons;78;Houston Rockets;70;Box Score;;18,189;;[2005, 11]
127;Fri, Nov 18, 2005;10:00p;Golden State Warriors;91;Portland Trail Blazers;80;Box Score;;14,817;;[2005, 11]
128;Fri, Nov 18, 2005;10:00p;Milwaukee Bucks;82;Sacramento Kings;103;Box Score;;17,317;;[2005, 11]
129;Fri, Nov 18, 2005;10:30p;LA Clippers;97;Los Angeles Lakers;91;Box Score;;18,997;;[2005, 11]
130;Fri, Nov 18, 2005;10:30p;Chicago Bulls;84;Oklahoma City Thunder;98;Box Score;;16,429;;[2005, 11]
131;Sat, Nov 19, 2005;7:00p;New Orleans Pelicans;98;Orlando Magic;95;Box Score;;14,489;;[2005, 11]
132;Sat, Nov 19, 2005;7:00p;Cleveland Cavaliers;123;Philadelphia 76ers;120;Box Score;;18,908;;[2005, 11]
133;Sat, Nov 19, 2005;7:30p;Washington Wizards;83;Brooklyn Nets;89;Box Score;;16,454;;[2005, 11]
134;Sat, Nov 19, 2005;8:00p;Charlotte Hornets;89;Minnesota Timberwolves;102;Box Score;;15,892;;[2005, 11]
135;Sat, Nov 19, 2005;8:30p;Detroit Pistons;82;Dallas Mavericks;119;Box Score;;20,337;;[2005, 11]
136;Sat, Nov 19, 2005;8:30p;Phoenix Suns;91;San Antonio Spurs;97;Box Score;;18,797;;[2005, 11]
137;Sat, Nov 19, 2005;9:00p;Memphis Grizzlies;80;Utah Jazz;72;Box Score;;16,356;;[2005, 11]
138;Sun, Nov 20, 2005;12:00p;Portland Trail Blazers;92;New York Knicks;103;Box Score;;17,057;;[2005, 11]
139;Sun, Nov 20, 2005;1:00p;Miami Heat;94;Toronto Raptors;107;Box Score;;17,594;;[2005, 11]
140;Sun, Nov 20, 2005;3:30p;Golden State Warriors;101;LA Clippers;113;Box Score;;15,712;;[2005, 11]
141;Sun, Nov 20, 2005;7:00p;Houston Rockets;74;Indiana Pacers;85;Box Score;;16,024;;[2005, 11]
142;Sun, Nov 20, 2005;9:00p;Memphis Grizzlies;83;Denver Nuggets;99;Box Score;;16,072;;[2005, 11]
143;Sun, Nov 20, 2005;9:00p;Sacramento Kings;104;Oklahoma City Thunder;106;Box Score;;16,113;;[2005, 11]
144;Sun, Nov 20, 2005;9:30p;Chicago Bulls;96;Los Angeles Lakers;93;Box Score;;18,997;;[2005, 11]
145;Mon, Nov 21, 2005;7:00p;New Orleans Pelicans;91;Philadelphia 76ers;103;Box Score;;12,452;;[2005, 11]
146;Mon, Nov 21, 2005;9:00p;Milwaukee Bucks;80;Utah Jazz;100;Box Score;;16,176;;[2005, 11]
147;Mon, Nov 21, 2005;10:00p;San Antonio Spurs;96;Sacramento Kings;93;Box Score;;17,317;;[2005, 11]
148;Mon, Nov 21, 2005;10:30p;Brooklyn Nets;97;Golden State Warriors;100;Box Score;;16,501;;[2005, 11]
149;Tue, Nov 22, 2005;7:00p;Boston Celtics;93;Cleveland Cavaliers;115;Box Score;;17,139;;[2005, 11]
150;Tue, Nov 22, 2005;7:00p;Denver Nuggets;108;Washington Wizards;105;Box Score;;15,98;;[2005, 11]
151;Tue, Nov 22, 2005;8:00p;Portland Trail Blazers;95;Memphis Grizzlies;87;Box Score;;14,555;;[2005, 11]
152;Tue, Nov 22, 2005;8:30p;Houston Rockets;93;Dallas Mavericks;102;Box Score;;20,304;;[2005, 11]
153;Tue, Nov 22, 2005;9:00p;Toronto Raptors;82;Phoenix Suns;90;Box Score;;16,259;;[2005, 11]
154;Tue, Nov 22, 2005;10:00p;Utah Jazz;93;Oklahoma City Thunder;87;Box Score;;14,834;;[2005, 11]
155;Wed, Nov 23, 2005;7:00p;Boston Celtics;117;Atlanta Hawks;120;Box Score;;14,288;;[2005, 11]
156;Wed, Nov 23, 2005;7:00p;Washington Wizards;83;Orlando Magic;91;Box Score;;13,104;;[2005, 11]
157;Wed, Nov 23, 2005;7:30p;New York Knicks;95;Charlotte Hornets;108;Box Score;;16,825;;[2005, 11]
158;Wed, Nov 23, 2005;7:30p;Denver Nuggets;89;Detroit Pistons;114;Box Score;;22,076;;[2005, 11]
159;Wed, Nov 23, 2005;7:30p;Phoenix Suns;100;Houston Rockets;88;Box Score;;18,059;;[2005, 11]
160;Wed, Nov 23, 2005;7:30p;Portland Trail Blazers;79;Miami Heat;100;Box Score;;19,6;;[2005, 11]
161;Wed, Nov 23, 2005;8:00p;Philadelphia 76ers;97;Milwaukee Bucks;108;Box Score;;17,526;;[2005, 11]
162;Wed, Nov 23, 2005;8:00p;Minnesota Timberwolves;80;New Orleans Pelicans;84;Box Score;;19,163;;[2005, 11]
163;Wed, Nov 23, 2005;10:00p;Brooklyn Nets;105;Sacramento Kings;114;Box Score;;17,317;;[2005, 11]
164;Wed, Nov 23, 2005;10:30p;San Antonio Spurs;113;Golden State Warriors;89;Box Score;;18,768;;[2005, 11]
165;Wed, Nov 23, 2005;10:30p;Toronto Raptors;100;LA Clippers;103;Box Score;;15,927;;[2005, 11]
166;Thu, Nov 24, 2005;8:00p;Cleveland Cavaliers;76;Indiana Pacers;98;Box Score;;17,243;;[2005, 11]
167;Thu, Nov 24, 2005;10:30p;Oklahoma City Thunder;96;Los Angeles Lakers;108;Box Score;;18,07;;[2005, 11]
168;Fri, Nov 25, 2005;7:00p;Portland Trail Blazers;89;Orlando Magic;104;Box Score;;12,528;;[2005, 11]
169;Fri, Nov 25, 2005;7:30p;Charlotte Hornets;89;Boston Celtics;90;Box Score;;18,624;;[2005, 11]
170;Fri, Nov 25, 2005;8:00p;Washington Wizards;120;Detroit Pistons;114;Box Score;2OT;22,076;;[2005, 11]
171;Fri, Nov 25, 2005;8:00p;Atlanta Hawks;87;Indiana Pacers;85;Box Score;;15,596;;[2005, 11]
172;Fri, Nov 25, 2005;8:00p;Houston Rockets;81;Memphis Grizzlies;86;Box Score;;18,119;;[2005, 11]
173;Fri, Nov 25, 2005;8:00p;Dallas Mavericks;103;Miami Heat;90;Box Score;;20,246;;[2005, 11]
174;Fri, Nov 25, 2005;8:00p;Milwaukee Bucks;91;Minnesota Timberwolves;99;Box Score;;17,422;;[2005, 11]
175;Fri, Nov 25, 2005;8:30p;Chicago Bulls;106;San Antonio Spurs;99;Box Score;;18,797;;[2005, 11]
176;Fri, Nov 25, 2005;9:00p;LA Clippers;95;Denver Nuggets;105;Box Score;;18,142;;[2005, 11]
177;Fri, Nov 25, 2005;9:00p;Golden State Warriors;94;Utah Jazz;90;Box Score;;18;;[2005, 11]
178;Fri, Nov 25, 2005;10:00p;Toronto Raptors;104;Sacramento Kings;106;Box Score;;17,317;;[2005, 11]
179;Fri, Nov 25, 2005;10:30p;Brooklyn Nets;81;Phoenix Suns;92;Box Score;;18,068;;[2005, 11]
180;Sat, Nov 26, 2005;12:30p;Philadelphia 76ers;102;New York Knicks;105;Box Score;OT;19,763;;[2005, 11]
181;Sat, Nov 26, 2005;3:30p;New Orleans Pelicans;105;Oklahoma City Thunder;99;Box Score;;16,371;;[2005, 11]
182;Sat, Nov 26, 2005;7:00p;Miami Heat;77;Orlando Magic;80;Box Score;;16,619;;[2005, 11]
183;Sat, Nov 26, 2005;7:30p;Washington Wizards;82;Charlotte Hornets;100;Box Score;;17,791;;[2005, 11]
184;Sat, Nov 26, 2005;7:30p;Minnesota Timberwolves;89;Cleveland Cavaliers;85;Box Score;;20,562;;[2005, 11]
185;Sat, Nov 26, 2005;8:30p;Memphis Grizzlies;112;Dallas Mavericks;92;Box Score;;20,135;;[2005, 11]
186;Sat, Nov 26, 2005;8:30p;Chicago Bulls;94;Houston Rockets;89;Box Score;;18,005;;[2005, 11]
187;Sat, Nov 26, 2005;9:00p;Detroit Pistons;85;Milwaukee Bucks;76;Box Score;;18,717;;[2005, 11]
188;Sat, Nov 26, 2005;10:30p;Toronto Raptors;91;Golden State Warriors;117;Box Score;;17,119;;[2005, 11]
189;Sun, Nov 27, 2005;2:00p;Portland Trail Blazers;77;Atlanta Hawks;75;Box Score;;10,421;;[2005, 11]
190;Sun, Nov 27, 2005;3:30p;Indiana Pacers;97;LA Clippers;92;Box Score;;16,151;;[2005, 11]
191;Sun, Nov 27, 2005;9:30p;Brooklyn Nets;102;Los Angeles Lakers;96;Box Score;OT;18,528;;[2005, 11]
192;Mon, Nov 28, 2005;7:00p;Dallas Mavericks;93;Toronto Raptors;91;Box Score;;15,789;;[2005, 11]
193;Mon, Nov 28, 2005;7:30p;Orlando Magic;87;Boston Celtics;83;Box Score;;14,053;;[2005, 11]
194;Mon, Nov 28, 2005;7:30p;New York Knicks;94;Miami Heat;107;Box Score;;19,894;;[2005, 11]
